Timestamp,Min_Windspeed1,Max_Windspeed1,Avg_Windspeed1,Var_Windspeed1,Min_Windspeed2,Max_Windspeed2,Avg_Windspeed2,Var_Windspeed2,Min_AmbientTemp,Max_AmbientTemp,Avg_AmbientTemp,Min_Pressure,Max_Pressure,Avg_Pressure,Min_Humidity,Max_Humidity,Avg_Humidity,Min_Precipitation,Max_Precipitation,Avg_Precipitation,Max_Raindetection,Anemometer1_Avg_Freq,Anemometer2_Avg_Freq,Pressure_Avg_Freq,metamast_missing_values
2016-01-01 00:00:00+00:00,617.5,1100.2,6.020138888888889,69.95,616.4,1112.7,6.063888888888889,73.17,2377.0,2494,16.92361111111111,146330.0,146397,1016.4027777777778,12425.0,12698,87.22916666666667,0,0,0,0,117.28472222222223,118.15277777777777,416.31944444444446,0
2016-01-02 00:00:00+00:00,401.1,793.8,4.114583333333333,65.61,402.2,792.4,4.113194444444444,65.25,2144.0,2236,15.208333333333334,146340.0,146376,1016.3541666666666,12523.0,12755,87.74305555555556,22,85,54,0,79.06944444444444,79.0,416.34027777777777,0
2016-01-03 00:00:00+00:00,523.3,1108.7,5.634722222222222,139.18,527.7,1109.1,5.652083333333334,138.68,2170.0,2287,15.520833333333334,145980.0,146039,1013.9513888888889,13499.0,13671,94.20833333333333,4,23,14,0,109.47222222222223,109.79861111111111,413.90972222222223,0
2016-01-04 00:00:00+00:00,953.0,1936.8,10.003472222222221,262.56,957.6,1940.1,10.027777777777779,263.94,2407.0,2537,17.09027777777778,145224.0,145288,1008.8263888888889,12603.0,12921,88.53472222222223,6,30,17,0,197.0625,197.65277777777777,408.77777777777777,0
2016-01-05 00:00:00+00:00,1032.5,1864.1,10.00138888888889,215.68,1020.8,1849.9,9.929861111111112,215.81,1896.0,2009,13.36111111111111,144951.0,145022,1006.9166666666666,10847.0,11252,76.64583333333333,33,89,61,0,197.03472222222223,195.58333333333334,406.88194444444446,0
2016-01-06 00:00:00+00:00,337.2,605.4,3.2819444444444446,25.37,333.2,603.9,3.2562499999999996,25.52,1795.0,1909,12.902777777777779,146187.0,146236,1015.4166666666666,10319.0,10625,72.63194444444444,0,4,2,0,62.333333333333336,61.833333333333336,415.375,0
2016-01-07 00:00:00+00:00,399.8,738.8,3.953472222222222,35.27,399.9,742.6,3.9694444444444446,35.85,2197.0,2301,15.631944444444445,146099.0,146180,1014.8680555555555,10915.0,11182,76.625,0,0,0,0,75.8125,76.04861111111111,414.75694444444446,0
2016-01-08 00:00:00+00:00,549.5,992.5,5.298611111111111,67.99,534.2,997.4,5.290972222222222,72.12,2202.0,2316,15.784722222222221,145251.0,145299,1008.8194444444445,11825.0,12094,82.94444444444444,0,0,0,0,102.71527777777777,102.5,408.7916666666667,0
2016-01-09 00:00:00+00:00,690.3,1364.4,7.059027777777778,134.74,691.1,1365.8,7.069444444444445,134.69,2201.0,2325,15.680555555555555,145120.0,145180,1007.9236111111111,11176.0,11508,78.72222222222223,4,32,18,0,138.02083333333334,138.27777777777777,407.875,0
2016-01-10 00:00:00+00:00,761.1,1654.7,8.306249999999999,236.33,768.4,1661.7,8.339583333333334,236.88,2295.0,2399,16.444444444444443,145416.0,145466,1010.0694444444445,10284.0,10650,72.65277777777777,0,2,1,0,163.02083333333334,163.76388888888889,410.03472222222223,0
2016-01-11 00:00:00+00:00,857.9,1839.8,9.188194444444443,326.26,862.5,1838.4,9.190277777777778,328.04,2181.0,2304,15.666666666666666,145548.0,145611,1010.9444444444445,11930.0,12332,84.29166666666667,6,26,16,0,180.75,180.75694444444446,410.90972222222223,0
2016-01-12 00:00:00+00:00,487.8,875.5,4.728472222222222,55.51,478.1,860.2,4.65,53.2,1804.0,1910,12.847222222222221,146269.0,146320,1015.9097222222222,10952.0,11320,77.29166666666667,0,2,1,0,91.35416666666667,89.79861111111111,415.88194444444446,0
2016-01-13 00:00:00+00:00,832.7,1310.2,7.434027777777778,63.41,834.5,1318.8,7.48888888888889,64.15,2003.0,2123,14.333333333333334,146227.0,146287,1015.7152777777778,9579.0,9878,67.42361111111111,0,0,0,0,145.67361111111111,146.70833333333334,415.6666666666667,0
2016-01-14 00:00:00+00:00,449.4,846.9,4.512499999999999,50.47,445.0,850.1,4.518055555555556,51.27,2120.0,2247,15.13888888888889,145983.0,146048,1014.0277777777778,11649.0,11916,81.75,0,0,0,0,87.02777777777777,87.07638888888889,413.94444444444446,0
2016-01-15 00:00:00+00:00,588.1,997.6,5.522916666666666,53.51,581.6,988.6,5.480555555555556,53.27,1953.0,2059,13.854166666666666,146173.0,146228,1015.3472222222222,11998.0,12256,84.125,2,6,3,0,107.36111111111111,106.48611111111111,415.2986111111111,0
2016-01-16 00:00:00+00:00,586.7,997.5,5.484027777777778,53.13,588.2,999.0,5.49375,53.82,1757.0,1873,12.590277777777779,146710.0,146763,1019.0,8645.0,9186,61.798611111111114,0,2,1,0,106.56944444444444,106.74305555555556,418.9791666666667,0
2016-01-17 00:00:00+00:00,917.7,1477.6,8.321527777777778,82.72,923.2,1481.6,8.368055555555555,83.23,1793.0,1916,12.73611111111111,146433.0,146493,1017.0972222222222,9085.0,9285,63.65972222222222,0,0,0,0,163.34722222222223,164.20833333333334,417.0625,0
